"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.501153650E-1,-1.889922976E0,8.207024574E0,4.970662117E0,9.779291544E0
6.521153650E-1,-1.873163581E0,8.197447777E0,4.973056316E0,9.769246695E0
6.541153650E-1,-1.849221587E0,8.187870979E0,4.965873718E0,9.752986898E0
6.561153650E-1,-1.830067873E0,8.185476303E0,4.953902721E0,9.741269060E0
6.581153650E-1,-1.820491076E0,8.192659378E0,4.946720123E0,9.741863036E0
6.601153650E-1,-1.820491076E0,8.195053101E0,4.939537525E0,9.740231724E0
6.621153650E-1,-1.827673674E0,8.192659378E0,4.934749126E0,9.737135497E0
6.641153650E-1,-1.839644790E0,8.195053101E0,4.937143326E0,9.742616306E0
6.661153650E-1,-1.856404185E0,8.204629898E0,4.941931725E0,9.756273747E0
6.681153650E-1,-1.875557780E0,8.209418297E0,4.949114323E0,9.767599415E0
6.701153650E-1,-1.894711375E0,8.211812973E0,4.961085320E0,9.779374778E0
6.721153650E-1,-1.921047568E0,8.211812973E0,4.973056316E0,9.790586560E0
6.741153650E-1,-1.947383761E0,8.216601372E0,4.987421513E0,9.807100232E0
6.761153650E-1,-1.974019289E0,8.228571892E0,4.994604111E0,9.826098806E0
